matrixDimension,timeInnerExact,errorInnerExact,timeOuterExact,errorOuterExact,timeOuterApprox,errorOuterApprox,subsample,subsampling
1,0.003000,0.000000,0.001000,0.000000,0.173000,0.000000,0.400000,2
2,0.002000,0.000000,0.002000,0.000000,0.048000,0.388977,0.400000,2
3,0.002000,0.000000,0.001000,0.000000,0.029000,1.228594,0.400000,2
4,0.007000,0.000000,0.003000,0.000000,0.080000,3.367006,0.400000,2
5,0.005000,0.000000,0.004000,0.000000,0.068000,6.437962,0.400000,2
6,0.003000,0.000000,0.004000,0.000000,0.036000,5.987682,0.400000,2
7,0.004000,0.000000,0.004000,0.000000,0.029000,9.052372,0.400000,2
8,0.006000,0.000000,0.005000,0.000000,0.029000,13.268025,0.400000,2
9,0.007000,0.000000,0.007000,0.000000,0.035000,15.469824,0.400000,2
10,0.009000,0.000000,0.008000,0.000000,0.031000,19.422848,0.400000,2
11,0.012000,0.000000,0.011000,0.000000,0.034000,25.367369,0.400000,2
12,0.014000,0.000000,0.013000,0.000000,0.036000,23.718014,0.400000,2
13,0.017000,0.000000,0.018000,0.000000,0.037000,41.814976,0.400000,2
14,0.021000,0.000000,0.021000,0.000000,0.043000,38.529629,0.400000,2
15,0.026000,0.000000,0.025000,0.000000,0.042000,56.317005,0.400000,2
16,0.043000,0.000000,0.018000,0.000000,0.027000,55.361618,0.400000,2
17,0.022000,0.000000,0.022000,0.000000,0.028000,60.130054,0.400000,2
18,0.025000,0.000000,0.024000,0.000000,0.034000,76.696335,0.400000,2
19,0.030000,0.000000,0.028000,0.000000,0.036000,78.492599,0.400000,2
20,0.034000,0.000000,0.032000,0.000000,0.033000,92.800423,0.400000,2
21,0.040000,0.000000,0.037000,0.000000,0.041000,95.494644,0.400000,2
22,0.045000,0.000000,0.048000,0.000000,0.040000,109.601814,0.400000,2
23,0.053000,0.000000,0.050000,0.000000,0.048000,120.648750,0.400000,2
24,0.060000,0.000000,0.056000,0.000000,0.049000,136.878159,0.400000,2
25,0.065000,0.000000,0.062000,0.000000,0.050000,149.600739,0.400000,2
26,0.075000,0.000000,0.078000,0.000000,0.055000,147.176712,0.400000,2
27,0.081000,0.000000,0.078000,0.000000,0.061000,177.389664,0.400000,2
28,0.093000,0.000000,0.086000,0.000000,0.064000,187.539368,0.400000,2
29,0.102000,0.000000,0.097000,0.000000,0.069000,193.577087,0.400000,2
30,0.114000,0.000000,0.106000,0.000000,0.074000,209.116058,0.400000,2
31,0.122000,0.000000,0.117000,0.000000,0.078000,226.109772,0.400000,2
32,0.146000,0.000000,0.137000,0.000000,0.086000,240.718475,0.400000,2
33,0.154000,0.000000,0.143000,0.000000,0.094000,258.789551,0.400000,2
34,0.174000,0.000000,0.157000,0.000000,0.100000,268.700043,0.400000,2
35,0.189000,0.000000,0.169000,0.000000,0.102000,291.123138,0.400000,2
36,0.206000,0.000000,0.185000,0.000000,0.116000,305.757385,0.400000,2
37,0.224000,0.000000,0.214000,0.000000,0.112000,309.921265,0.400000,2
38,0.230000,0.000000,0.213000,0.000000,0.124000,343.334137,0.400000,2
39,0.244000,0.000000,0.231000,0.000000,0.131000,358.345123,0.400000,2
40,0.289000,0.000000,0.378000,0.000000,0.164000,378.512634,0.400000,2
41,0.280000,0.000000,0.266000,0.000000,0.153000,387.140686,0.400000,2
42,0.302000,0.000000,0.287000,0.000000,0.162000,424.324768,0.400000,2
43,0.302000,0.000000,0.287000,0.000000,0.210000,456.209473,0.400000,2
44,0.347000,0.000000,0.347000,0.000000,0.268000,464.081329,0.400000,2
45,0.375000,0.000000,0.329000,0.000000,0.194000,484.135406,0.400000,2
46,0.410000,0.000000,0.556000,0.000000,0.343000,518.501709,0.400000,2
47,0.478000,0.000000,0.498000,0.000000,0.303000,526.253662,0.400000,2
48,0.446000,0.000000,0.400000,0.000000,0.226000,553.246887,0.400000,2
49,0.463000,0.000000,0.449000,0.000000,0.237000,570.094604,0.400000,2
50,0.474000,0.000000,0.457000,0.000000,0.309000,596.658325,0.400000,2
51,0.576000,0.000000,0.478000,0.000000,0.266000,617.832031,0.400000,2
52,0.525000,0.000000,0.501000,0.000000,0.253000,630.388611,0.400000,2
53,0.555000,0.000000,0.535000,0.000000,0.386000,686.940918,0.400000,2
54,0.590000,0.000000,0.592000,0.000000,0.302000,697.183594,0.400000,2
55,0.633000,0.000000,0.590000,0.000000,0.294000,719.300171,0.400000,2
56,0.695000,0.000000,0.623000,0.000000,0.318000,761.108093,0.400000,2
57,0.693000,0.000000,0.654000,0.000000,0.315000,796.530579,0.400000,2
58,0.724000,0.000000,0.708000,0.000000,0.341000,798.665588,0.400000,2
59,0.761000,0.000000,0.726000,0.000000,0.353000,843.206665,0.400000,2
60,0.801000,0.000000,0.778000,0.000000,0.359000,893.289490,0.400000,2
61,0.840000,0.000000,0.799000,0.000000,0.387000,913.675171,0.400000,2
62,0.888000,0.000000,0.842000,0.000000,0.399000,918.466980,0.400000,2
63,0.931000,0.000000,0.900000,0.000000,0.427000,952.417175,0.400000,2
64,0.965000,0.000000,0.923000,0.000000,0.439000,986.783936,0.400000,2
65,1.014000,0.000000,0.974000,0.000000,0.451000,1043.735840,0.400000,2
66,1.059000,0.000000,1.024000,0.000000,0.480000,1038.976807,0.400000,2
67,1.151000,0.000000,1.059000,0.000000,0.501000,1063.578857,0.400000,2
68,1.165000,0.000000,1.108000,0.000000,0.524000,1109.908325,0.400000,2
69,1.205000,0.000000,1.153000,0.000000,0.545000,1174.395996,0.400000,2
70,1.261000,0.000000,1.224000,0.000000,0.554000,1225.112671,0.400000,2
71,1.311000,0.000000,1.256000,0.000000,0.588000,1209.517578,0.400000,2
72,1.596000,0.000000,1.542000,0.000000,0.631000,1227.346680,0.400000,2
73,1.434000,0.000000,1.387000,0.000000,0.648000,1298.202026,0.400000,2
74,1.492000,0.000000,1.423000,0.000000,0.701000,1316.285522,0.400000,2
75,1.550000,0.000000,1.587000,0.000000,0.696000,1369.583740,0.400000,2
76,1.615000,0.000000,1.565000,0.000000,0.708000,1411.872803,0.400000,2
77,1.721000,0.000000,1.601000,0.000000,0.738000,1421.142090,0.400000,2
78,1.736000,0.000000,1.682000,0.000000,0.772000,1513.726074,0.400000,2
79,1.809000,0.000000,1.749000,0.000000,0.784000,1527.025391,0.400000,2
80,1.890000,0.000000,1.794000,0.000000,0.803000,1542.066162,0.400000,2
81,1.956000,0.000000,1.872000,0.000000,0.846000,1604.456177,0.400000,2
82,2.017000,0.000000,1.931000,0.000000,0.867000,1639.846313,0.400000,2
83,2.104000,0.000000,2.003000,0.000000,0.914000,1679.763550,0.400000,2
84,2.170000,0.000000,4.101000,0.000000,1.102000,1732.877197,0.400000,2
85,2.580000,0.000000,2.475000,0.000000,1.025000,1749.047119,0.400000,2
86,2.478000,0.000000,2.234000,0.000000,1.015000,1799.164429,0.400000,2
87,2.413000,0.000000,2.315000,0.000000,1.035000,1836.622192,0.400000,2
88,2.496000,0.000000,2.405000,0.000000,1.079000,1880.742432,0.400000,2
89,2.581000,0.000000,3.820000,0.000000,1.822000,1911.642212,0.400000,2
90,3.066000,0.000000,2.918000,0.000000,1.242000,1976.441406,0.400000,2
91,2.908000,0.000000,2.653000,0.000000,1.177000,1992.358765,0.400000,2
92,2.846000,0.000000,2.719000,0.000000,1.203000,2061.045654,0.400000,2
93,2.937000,0.000000,2.808000,0.000000,1.280000,2120.379639,0.400000,2
94,3.036000,0.000000,2.892000,0.000000,1.285000,2133.697021,0.400000,2
95,3.132000,0.000000,3.012000,0.000000,1.308000,2232.075195,0.400000,2
96,3.287000,0.000000,3.154000,0.000000,1.408000,2272.307373,0.400000,2
97,3.342000,0.000000,3.177000,0.000000,1.413000,2254.053711,0.400000,2
98,3.454000,0.000000,3.310000,0.000000,1.467000,2329.701904,0.400000,2
99,3.530000,0.000000,3.393000,0.000000,1.505000,2411.864502,0.400000,2
100,3.673000,0.000000,3.541000,0.000000,1.551000,2469.150635,0.400000,2
101,3.787000,0.000000,3.582000,0.000000,1.615000,2509.469238,0.400000,2
